word1,word2,SimLex999,POS,emb1,emb2,similarity_score
breed,smal,1.79,A,"tensor([33.8570, -0.2235, 39.3424,  ..., 22.5201, 13.4191, 19.7805])","tensor([35.2318, -0.3351, 42.7991,  ..., 24.7142, 14.8776, 21.1927])",0.9973503
slecht,vreselijk,5.91,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([21.1750, -0.3672, 32.7679,  ..., 19.2757, 12.6396, 16.6056])",0.99433374
makkelijk,moeilijk,2.17,A,"tensor([20.6692, -0.1678, 24.3974,  ..., 13.1490,  9.8238, 11.9712])","tensor([26.2096, -0.2628, 33.2101,  ..., 17.6557, 11.4789, 15.9808])",0.9941843
slecht,vreselijk,7.53,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([21.1750, -0.3672, 32.7679,  ..., 19.2757, 12.6396, 16.6056])",0.99433374
moeilijk,gemakkelijk,1.92,A,"tensor([26.2096, -0.2628, 33.2101,  ..., 17.6557, 11.4789, 15.9808])","tensor([25.2286, -0.1717, 28.5178,  ..., 16.2920, 10.9205, 14.4374])",0.99697465
slim,dom,2.72,A,"tensor([27.0840, -0.2627, 39.2540,  ..., 23.2537, 13.1294, 19.5419])","tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])",0.9971065
krankzinnig,gek,8.02,A,"tensor([14.4734, -0.4156, 32.4710,  ..., 21.0846, 11.3188, 16.5067])","tensor([21.0575, -0.1563, 25.5745,  ..., 14.0085, 11.1849, 12.2915])",0.985188
gelukkig,kwaad,2.95,A,"tensor([20.6892, -0.4348, 42.2072,  ..., 25.6110, 13.6992, 20.8619])","tensor([18.8109, -0.2341, 25.5669,  ..., 15.5893, 11.9341, 13.0498])",0.9934121
uitgebreid,groot,5.58,A,"tensor([25.0821, -0.3750, 34.8412,  ..., 21.2704, 12.7040, 18.3931])","tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])",0.9945989
moeilijk,simpel,2.24,A,"tensor([26.2096, -0.2628, 33.2101,  ..., 17.6557, 11.4789, 15.9808])","tensor([23.8769, -0.2208, 30.3556,  ..., 17.8808, 10.9694, 14.8372])",0.99508363
nieuw,vers,6.69,A,"tensor([31.8642, -0.2964, 39.4570,  ..., 22.9365, 13.2558, 20.0085])","tensor([17.5849, -0.3357, 36.4481,  ..., 22.4687, 12.1932, 17.7350])",0.9973249
scherp,saai,0.95,A,"tensor([24.2690, -0.4245, 34.5707,  ..., 19.4745, 13.2608, 16.7594])","tensor([16.7030, -0.2786, 23.4834,  ..., 13.7807,  9.6274, 11.7731])",0.98579854
vlug,snel,8.95,A,"tensor([20.9067, -0.2248, 29.8397,  ..., 18.9583, 13.8633, 15.4275])","tensor([21.2420, -0.2162, 27.1763,  ..., 15.7167, 10.1961, 13.5775])",0.99381244
dom,dwaas,6.57,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([16.0572, -0.2301, 22.6150,  ..., 16.1934, 10.9267, 11.3400])",0.9845979
prachtig,fantastisch,6.3,A,"tensor([36.9523, -0.2797, 41.7398,  ..., 24.6059, 14.6119, 21.1984])","tensor([19.5246, -0.1441, 23.4888,  ..., 13.1324, 10.7756, 11.1792])",0.9812244
eigenaardig,vreemd,8.56,A,"tensor([19.0411, -0.2499, 26.2835,  ..., 14.8777, 10.6383, 12.7281])","tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])",0.99318904
gelukkig,boos,0.98,A,"tensor([20.6892, -0.4348, 42.2072,  ..., 25.6110, 13.6992, 20.8619])","tensor([21.8039, -0.2623, 28.9891,  ..., 19.5872, 13.0451, 15.2937])",0.9930175
smal,breed,3.59,A,"tensor([35.2318, -0.3351, 42.7991,  ..., 24.7142, 14.8776, 21.1927])","tensor([33.8570, -0.2235, 39.3424,  ..., 22.5201, 13.4191, 19.7805])",0.9973503
eenvoudig,gemakkelijk,9.04,A,"tensor([23.0920, -0.2318, 31.6383,  ..., 18.6352, 11.1033, 15.6046])","tensor([25.2286, -0.1717, 28.5178,  ..., 16.2920, 10.9205, 14.4374])",0.99544436
oud,vers,1.69,A,"tensor([24.0479, -0.3200, 32.1239,  ..., 20.3792, 13.2179, 16.8367])","tensor([17.5849, -0.3357, 36.4481,  ..., 22.4687, 12.1932, 17.7350])",0.9949958
kennelijk,duidelijk,4.04,A,"tensor([19.2573, -0.3502, 29.4433,  ..., 18.2636, 11.1543, 14.9412])","tensor([22.5789, -0.2307, 30.6771,  ..., 15.7524, 11.7438, 14.9030])",0.99207383
betaalbaar,goedkoop,6.43,A,"tensor([17.1304, -0.5231, 39.2681,  ..., 24.6228, 12.6674, 19.7172])","tensor([22.7748, -0.1492, 28.5376,  ..., 16.9849, 11.0636, 14.0472])",0.9907105
leuk,grootmoedig,2.06,A,"tensor([21.2878, -0.2281, 25.5871,  ..., 15.1983, 10.9474, 12.6146])","tensor([18.4882, -0.1471, 24.8743,  ..., 14.6479,  9.7960, 11.9465])",0.9925234
raar,vreemd,8.4,A,"tensor([19.6778, -0.3521, 29.5030,  ..., 18.1800, 11.4760, 15.1350])","tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])",0.9914402
vreemd,normaal,1.81,A,"tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])","tensor([21.6201, -0.0737, 24.1675,  ..., 12.6085, 10.2403, 11.5476])",0.9882125
slecht,immoreel,6.44,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([17.8429, -0.3231, 27.1002,  ..., 16.9263, 12.0993, 13.8758])",0.99015564
verdrietig,grappig,1.68,A,"tensor([17.1682, -0.5824, 40.2240,  ..., 26.8714, 13.4741, 21.2468])","tensor([26.5774, -0.4170, 37.5109,  ..., 22.3380, 14.3460, 18.8054])",0.9900454
prachtig,geweldig,6.85,A,"tensor([36.9523, -0.2797, 41.7398,  ..., 24.6059, 14.6119, 21.1984])","tensor([21.5538, -0.2222, 27.1940,  ..., 15.7595, 10.2523, 13.3523])",0.9940974
schuldig,beschaamd,3.54,A,"tensor([21.4088, -0.2824, 28.5534,  ..., 17.5017, 10.5593, 14.3564])","tensor([14.7301, -0.5542, 34.2520,  ..., 24.8210, 12.6098, 17.9323])",0.99322945
mooi,prachtig,7.24,A,"tensor([26.7334, -0.3010, 33.6643,  ..., 20.1575, 12.7418, 17.3916])","tensor([36.9523, -0.2797, 41.7398,  ..., 24.6059, 14.6119, 21.1984])",0.9971127
zelfverzekerd,zeker,7.49,A,"tensor([19.6345, -0.5749, 33.0699,  ..., 22.0589, 11.7775, 17.7842])","tensor([19.1242, -0.3463, 40.3235,  ..., 23.5959, 12.3646, 19.0726])",0.9887934
dom,onderontwikkeld,4.56,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([15.7480, -0.7044, 40.9547,  ..., 26.9285, 12.2066, 21.2097])",0.99334306
groot,flexibel,1.63,A,"tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])","tensor([17.2360, -0.4571, 42.5180,  ..., 25.6710, 14.7558, 20.8544])",0.99437284
aardig,wreed,1.28,A,"tensor([13.9083, -0.2988, 29.5389,  ..., 16.6415, 10.6785, 14.1961])","tensor([15.2911, -0.3693, 34.6918,  ..., 22.0510, 12.1681, 17.3584])",0.9924637
ongeduldig,nerveus,4.22,A,"tensor([17.4242, -0.3985, 26.5915,  ..., 17.7066, 11.2117, 13.8208])","tensor([16.8062, -0.1660, 22.8204,  ..., 13.1317, 10.0040, 11.2913])",0.990853
groot,breed,4.4,A,"tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])","tensor([33.8570, -0.2235, 39.3424,  ..., 22.5201, 13.4191, 19.7805])",0.9980075
sterk,trots,4.09,A,"tensor([18.7800, -0.0802, 23.8151,  ..., 13.6108, 10.9326, 10.8609])","tensor([36.3264, -0.3014, 44.9471,  ..., 25.9021, 14.9931, 22.2923])",0.9780531
onnodig,noodzakelijk,1.71,A,"tensor([33.5481, -0.2120, 39.9867,  ..., 23.2165, 13.7173, 20.1782])","tensor([36.0142, -0.2263, 41.9570,  ..., 24.7892, 14.4757, 21.0848])",0.9982476
onrustig,jong,1.37,A,"tensor([15.1212, -0.2663, 23.0437,  ..., 14.3981, 11.7537, 11.7119])","tensor([25.5350, -0.1787, 32.0928,  ..., 16.2708, 11.5232, 14.9062])",0.989019
dom,intelligent,2.62,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([19.4985, -0.0980, 23.1746,  ..., 11.3899, 10.6386, 10.9602])",0.9793877
slecht,geweldig,1.75,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([21.5538, -0.2222, 27.1940,  ..., 15.7595, 10.2523, 13.3523])",0.9928977
moeilijk,eenvoudig,2.25,A,"tensor([26.2096, -0.2628, 33.2101,  ..., 17.6557, 11.4789, 15.9808])","tensor([23.0920, -0.2318, 31.6383,  ..., 18.6352, 11.1033, 15.6046])",0.9967416
noodzakelijk,belangrijk,8.22,A,"tensor([36.0142, -0.2263, 41.9570,  ..., 24.7892, 14.4757, 21.0848])","tensor([23.9150, -0.4296, 43.3539,  ..., 26.2275, 14.7495, 21.2077])",0.9977279
slecht,verschrikkelijk,6.93,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([20.6672, -0.3776, 31.1720,  ..., 19.5864, 11.6508, 16.1229])",0.99242115
boos,blij,2.16,A,"tensor([21.8039, -0.2623, 28.9891,  ..., 19.5872, 13.0451, 15.2937])","tensor([20.8122, -0.2108, 26.5739,  ..., 15.4689, 10.2363, 13.0484])",0.9915916
eerlijk,schuldig,1.18,A,"tensor([36.0950, -0.3260, 42.7035,  ..., 25.3748, 15.5021, 21.3853])","tensor([21.4088, -0.2824, 28.5534,  ..., 17.5017, 10.5593, 14.3564])",0.994517
makkelijk,zwaar,2.17,A,"tensor([20.6692, -0.1678, 24.3974,  ..., 13.1490,  9.8238, 11.9712])","tensor([24.9771, -0.4224, 35.2798,  ..., 20.9861, 12.9471, 17.4980])",0.98930824
makkelijk,flexibel,5.85,A,"tensor([20.6692, -0.1678, 24.3974,  ..., 13.1490,  9.8238, 11.9712])","tensor([17.2360, -0.4571, 42.5180,  ..., 25.6710, 14.7558, 20.8544])",0.9910648
stellig,zeker,5.41,A,"tensor([24.1656, -0.4921, 34.6857,  ..., 19.9361, 12.8819, 18.1103])","tensor([19.1242, -0.3463, 40.3235,  ..., 23.5959, 12.3646, 19.0726])",0.99382377
essentieel,noodzakelijk,8.55,A,"tensor([23.2261, -0.6564, 40.0844,  ..., 25.9127, 13.7302, 21.3400])","tensor([36.0142, -0.2263, 41.9570,  ..., 24.7892, 14.4757, 21.0848])",0.9915286
anders,normaal,1.16,A,"tensor([37.5188, -0.2857, 42.8673,  ..., 24.5006, 14.9273, 21.3162])","tensor([21.6201, -0.0737, 24.1675,  ..., 12.6085, 10.2403, 11.5476])",0.989375
sluw,slim,4.08,A,"tensor([17.5544, -0.1999, 24.9734,  ..., 15.3402, 11.2257, 12.2330])","tensor([27.0840, -0.2627, 39.2540,  ..., 23.2537, 13.1294, 19.5419])",0.98866916
cruciaal,belangrijk,8.59,A,"tensor([18.3668, -0.2249, 24.0608,  ..., 15.2958, 13.3199, 12.3794])","tensor([23.9150, -0.4296, 43.3539,  ..., 26.2275, 14.7495, 21.2077])",0.98793197
hard,wreed,7.02,A,"tensor([20.4077, -0.1183, 21.9709,  ..., 12.3720, 10.7897, 10.6754])","tensor([15.2911, -0.3693, 34.6918,  ..., 22.0510, 12.1681, 17.3584])",0.9813255
kinderachtig,dwaas,3.41,A,"tensor([30.0878, -0.3116, 38.4762,  ..., 23.6089, 12.7304, 19.8930])","tensor([16.0572, -0.2301, 22.6150,  ..., 16.1934, 10.9267, 11.3400])",0.98324066
zelden,zeldzaam,6.09,A,"tensor([15.6152, -0.5070, 38.3833,  ..., 23.7705, 13.6053, 19.4957])","tensor([15.4265, -0.2716, 25.3006,  ..., 15.1114, 10.4358, 12.4887])",0.9889047
vriendelijk,vrijgevig,4.57,A,"tensor([16.6847, -0.1577, 25.7095,  ..., 14.5204, 10.5770, 12.1553])","tensor([20.4826, -0.4877, 32.3569,  ..., 22.3684, 12.4029, 17.3933])",0.9776106
breekbaar,kil,1.35,A,"tensor([20.1043, -0.6359, 40.3360,  ..., 26.8914, 13.1676, 21.2337])","tensor([18.3554, -0.1425, 22.4676,  ..., 13.5891, 11.2617, 10.7534])",0.97154075
lang,smal,3.08,A,"tensor([20.8764, -0.3051, 27.8892,  ..., 18.1169, 12.5384, 14.1347])","tensor([35.2318, -0.3351, 42.7991,  ..., 24.7142, 14.8776, 21.1927])",0.99304956
groot,zwaar,5.2,A,"tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])","tensor([24.9771, -0.4224, 35.2798,  ..., 20.9861, 12.9471, 17.4980])",0.9891562
ruw,koel,1.39,A,"tensor([19.8217, -0.3786, 29.0814,  ..., 19.1092, 13.3748, 15.1591])","tensor([20.3857, -0.2412, 26.5132,  ..., 15.2916, 10.9322, 13.1337])",0.993627
bizar,vreemd,8.11,A,"tensor([19.2610, -0.1056, 22.4659,  ..., 11.7382, 10.8515, 10.6183])","tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])",0.97553533
illegaal,immoreel,3.39,A,"tensor([17.4192, -0.3250, 27.5170,  ..., 17.8719, 12.2397, 13.8130])","tensor([17.8429, -0.3231, 27.1002,  ..., 16.9263, 12.0993, 13.8758])",0.9942226
slecht,schuldig,3.77,A,"tensor([15.6331, -0.4199, 40.5235,  ..., 23.9888, 13.0864, 19.6537])","tensor([21.4088, -0.2824, 28.5534,  ..., 17.5017, 10.5593, 14.3564])",0.99451077
modern,oud,1.15,A,"tensor([23.9769, -0.1371, 29.0833,  ..., 17.3595, 10.8117, 14.8124])","tensor([24.0479, -0.3200, 32.1239,  ..., 20.3792, 13.2179, 16.8367])",0.99488515
nieuw,oud,2.18,A,"tensor([31.8642, -0.2964, 39.4570,  ..., 22.9365, 13.2558, 20.0085])","tensor([24.0479, -0.3200, 32.1239,  ..., 20.3792, 13.2179, 16.8367])",0.9953862
saai,grappig,1.91,A,"tensor([16.7030, -0.2786, 23.4834,  ..., 13.7807,  9.6274, 11.7731])","tensor([26.5774, -0.4170, 37.5109,  ..., 22.3380, 14.3460, 18.8054])",0.9885245
gelukkig,jong,1.78,A,"tensor([20.6892, -0.4348, 42.2072,  ..., 25.6110, 13.6992, 20.8619])","tensor([25.5350, -0.1787, 32.0928,  ..., 16.2708, 11.5232, 14.9062])",0.9926203
makkelijk,groot,0.96,A,"tensor([20.6692, -0.1678, 24.3974,  ..., 13.1490,  9.8238, 11.9712])","tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])",0.99187887
geweldig,vreselijk,2.0,A,"tensor([21.5538, -0.2222, 27.1940,  ..., 15.7595, 10.2523, 13.3523])","tensor([21.1750, -0.3672, 32.7679,  ..., 19.2757, 12.6396, 16.6056])",0.9927961
klein,enorm,1.82,A,"tensor([24.2294, -0.3531, 33.9174,  ..., 22.3131, 12.9622, 17.6117])","tensor([18.3624, -0.0640, 24.5218,  ..., 12.8796, 10.7188, 11.2917])",0.9847652
beleefd,gepast,6.28,A,"tensor([21.2671, -0.4024, 30.5326,  ..., 19.0306, 11.7070, 15.6463])","tensor([17.7011, -0.3297, 27.0238,  ..., 18.9267, 12.1408, 13.7928])",0.99235934
bescheiden,beschaamd,3.87,A,"tensor([16.5399, -0.2260, 22.6163,  ..., 12.3685, 10.5457, 10.9047])","tensor([14.7301, -0.5542, 34.2520,  ..., 24.8210, 12.6098, 17.9323])",0.97885156
exotisch,zeldzaam,5.1,A,"tensor([16.7431, -0.4434, 39.6209,  ..., 25.2919, 13.3076, 20.6607])","tensor([15.4265, -0.2716, 25.3006,  ..., 15.1114, 10.4358, 12.4887])",0.98807496
dom,slim,2.95,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([27.0840, -0.2627, 39.2540,  ..., 23.2537, 13.1294, 19.5419])",0.9971065
heerlijk,prachtig,4.76,A,"tensor([23.7177, -0.3086, 32.7669,  ..., 19.1621, 13.8915, 16.9063])","tensor([36.9523, -0.2797, 41.7398,  ..., 24.6059, 14.6119, 21.1984])",0.99387074
opvallend,duidelijk,6.18,A,"tensor([26.3564, -0.3875, 36.3744,  ..., 22.1522, 13.5832, 18.7444])","tensor([22.5789, -0.2307, 30.6771,  ..., 15.7524, 11.7438, 14.9030])",0.9923439
angstig,bang,9.06,A,"tensor([19.6330, -0.2864, 27.5137,  ..., 17.4271, 12.3673, 13.7205])","tensor([22.2593, -0.4068, 43.0356,  ..., 26.2101, 14.2554, 20.9397])",0.99369645
formeel,juist,2.5,A,"tensor([15.4193, -0.2277, 22.1594,  ..., 14.0344,  9.8622, 11.1120])","tensor([32.5229, -0.2620, 39.5896,  ..., 24.4437, 13.8620, 20.0773])",0.9845215
somber,saai,3.94,A,"tensor([23.7026, -0.3333, 34.5552,  ..., 21.6208, 12.4067, 18.2021])","tensor([16.7030, -0.2786, 23.4834,  ..., 13.7807,  9.6274, 11.7731])",0.9871681
heerlijk,vrolijk,3.03,A,"tensor([23.7177, -0.3086, 32.7669,  ..., 19.1621, 13.8915, 16.9063])","tensor([25.9254, -0.4450, 37.0086,  ..., 19.8947, 14.7259, 17.9454])",0.99496967
ongelukkig,kwaad,3.1,A,"tensor([37.7603, -0.2690, 43.7635,  ..., 25.5883, 14.7937, 22.2050])","tensor([18.8109, -0.2341, 25.5669,  ..., 15.5893, 11.9341, 13.0498])",0.99103653
verdrietig,vreselijk,5.15,A,"tensor([17.1682, -0.5824, 40.2240,  ..., 26.8714, 13.4741, 21.2468])","tensor([21.1750, -0.3672, 32.7679,  ..., 19.2757, 12.6396, 16.6056])",0.9938099
ziek,gek,2.3,A,"tensor([21.4845, -0.2329, 28.8585,  ..., 15.7667, 12.6545, 14.9401])","tensor([21.0575, -0.1563, 25.5745,  ..., 14.0085, 11.1849, 12.2915])",0.98403805
gewelddadig,boos,3.48,A,"tensor([19.9816, -0.8664, 47.9399,  ..., 30.2699, 16.8808, 24.3995])","tensor([21.8039, -0.2623, 28.9891,  ..., 19.5872, 13.0451, 15.2937])",0.9915883
beladen,zwaar,7.33,A,"tensor([29.9696, -0.3042, 37.3926,  ..., 21.4905, 13.3061, 18.4810])","tensor([24.9771, -0.4224, 35.2798,  ..., 20.9861, 12.9471, 17.4980])",0.98650247
vuil,goedkoop,1.44,A,"tensor([19.0285, -0.3740, 27.9521,  ..., 17.7307, 12.8570, 14.0654])","tensor([22.7748, -0.1492, 28.5376,  ..., 16.9849, 11.0636, 14.0472])",0.9879093
elastisch,flexibel,7.32,A,"tensor([17.3367, -0.2572, 26.6527,  ..., 16.9638, 10.8410, 13.5924])","tensor([17.2360, -0.4571, 42.5180,  ..., 25.6710, 14.7558, 20.8544])",0.99273795
hard,dicht,1.33,A,"tensor([20.4077, -0.1183, 21.9709,  ..., 12.3720, 10.7897, 10.6754])","tensor([24.5814, -0.3392, 33.1268,  ..., 20.5886, 11.2517, 17.4861])",0.9859708
onlangs,nieuw,3.45,A,"tensor([ 8.3032, -0.2945, 35.1661,  ..., 20.7743, 11.4299, 15.9209])","tensor([31.8642, -0.2964, 39.4570,  ..., 22.9365, 13.2558, 20.0085])",0.9951022
brutaal,trots,1.67,A,"tensor([16.6949, -0.1859, 24.5643,  ..., 15.2062, 10.9524, 12.6508])","tensor([36.3264, -0.3014, 44.9471,  ..., 25.9021, 14.9931, 22.2923])",0.9875843
sluw,vreemd,2.99,A,"tensor([17.5544, -0.1999, 24.9734,  ..., 15.3402, 11.2257, 12.2330])","tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])",0.9897703
vreemd,sluw,2.32,A,"tensor([24.0111, -0.3608, 39.6087,  ..., 23.8231, 13.3571, 19.7590])","tensor([17.5544, -0.1999, 24.9734,  ..., 15.3402, 11.2257, 12.2330])",0.9897703
dom,zeldzaam,1.2,A,"tensor([14.8471, -0.4018, 37.3235,  ..., 21.7067, 13.5175, 18.2454])","tensor([15.4265, -0.2716, 25.3006,  ..., 15.1114, 10.4358, 12.4887])",0.99035895
sluw,koppig,1.54,A,"tensor([17.5544, -0.1999, 24.9734,  ..., 15.3402, 11.2257, 12.2330])","tensor([19.4463, -0.4108, 30.6491,  ..., 17.7453, 11.1696, 15.5507])",0.9889353
fantastisch,kwaad,0.95,A,"tensor([19.5246, -0.1441, 23.4888,  ..., 13.1324, 10.7756, 11.1792])","tensor([18.8109, -0.2341, 25.5669,  ..., 15.5893, 11.9341, 13.0498])",0.98730415
bescheiden,flexibel,1.42,A,"tensor([16.5399, -0.2260, 22.6163,  ..., 12.3685, 10.5457, 10.9047])","tensor([17.2360, -0.4571, 42.5180,  ..., 25.6710, 14.7558, 20.8544])",0.9814436
vers,breed,1.29,A,"tensor([17.5849, -0.3357, 36.4481,  ..., 22.4687, 12.1932, 17.7350])","tensor([33.8570, -0.2235, 39.3424,  ..., 22.5201, 13.4191, 19.7805])",0.99652356
enorm,sprakeloos,0.99,A,"tensor([18.3624, -0.0640, 24.5218,  ..., 12.8796, 10.7188, 11.2917])","tensor([27.2956, -0.1484, 34.2053,  ..., 20.0463, 11.6109, 16.7541])",0.9837651
groot,enorm,7.53,A,"tensor([36.3549, -0.1667, 39.7494,  ..., 22.3683, 13.7001, 19.4891])","tensor([18.3624, -0.0640, 24.5218,  ..., 12.8796, 10.7188, 11.2917])",0.98725027
vuil,smal,1.68,A,"tensor([19.0285, -0.3740, 27.9521,  ..., 17.7307, 12.8570, 14.0654])","tensor([35.2318, -0.3351, 42.7991,  ..., 24.7142, 14.8776, 21.1927])",0.98860294
echtgenote,echtgenoot,7.6,N,"tensor([19.5175, -0.5509, 39.7832,  ..., 24.9588, 12.8135, 20.2181])","tensor([20.6307, -0.2909, 29.1670,  ..., 15.8793, 12.2224, 14.8342])",0.9927274
boek,tekst,5.78,N,"tensor([37.9573, -0.3813, 45.0609,  ..., 27.2901, 15.5794, 22.9110])","tensor([25.4677, -0.3834, 35.6831,  ..., 21.7496, 13.6647, 18.8111])",0.9943829
bruidegom,bruid,5.95,N,"tensor([19.9501, -0.4572, 32.4766,  ..., 20.3793, 11.8201, 17.3223])","tensor([20.2832, -0.1858, 26.9468,  ..., 15.6369, 11.8584, 13.5696])",0.9898981
nacht,dag,4.55,N,"tensor([27.7525, -0.3330, 40.8272,  ..., 23.9517, 13.5400, 20.6436])","tensor([30.8148, -0.6008, 44.1720,  ..., 26.5081, 14.5444, 23.8923])",0.99521
zuid,noord,2.93,N,"tensor([21.2360, -0.3042, 28.9859,  ..., 17.2615, 12.1437, 14.5879])","tensor([20.4337, -0.3893, 31.1802,  ..., 18.3632, 14.4212, 16.1465])",0.9963645
vliegtuig,luchthaven,5.12,N,"tensor([36.8498, -0.2757, 45.4149,  ..., 25.9357, 14.6941, 22.2598])","tensor([21.5878, -0.4496, 35.3736,  ..., 20.4652, 12.9955, 17.7970])",0.99108493
oom,tante,4.11,N,"tensor([18.0168, -0.4314, 39.4038,  ..., 25.2073, 13.1987, 20.1849])","tensor([25.6293, -0.4360, 37.0214,  ..., 20.8768, 12.9131, 18.6001])",0.9933756
paard,merrie,7.07,N,"tensor([18.7568, -0.1176, 25.3797,  ..., 14.8750, 11.1299, 12.0691])","tensor([24.4911, -0.3775, 32.9790,  ..., 21.6125, 13.2310, 17.8980])",0.98122096
onderkant,bovenkant,3.5,N,"tensor([13.5920, -0.3842, 35.1869,  ..., 21.4707, 11.7760, 17.0851])","tensor([14.3450, -0.4324, 35.6390,  ..., 21.9144, 11.4096, 17.2153])",0.99840826
vriend,maat,7.25,N,"tensor([28.2194, -0.3105, 38.7789,  ..., 21.5508, 13.6061, 19.2505])","tensor([25.1913, -0.3506, 34.4290,  ..., 21.2961, 12.3006, 17.2483])",0.9966985
student,leerling,7.77,N,"tensor([38.3787, -0.4278, 46.2946,  ..., 26.6873, 16.0045, 23.4016])","tensor([19.2985, -0.1049, 23.7484,  ..., 14.7472, 10.0155, 11.8973])",0.9879917
wereld,wereldbol,4.46,N,"tensor([37.9238, -0.3190, 44.8315,  ..., 26.8346, 15.7905, 22.9725])","tensor([21.3742, -0.2884, 28.9263,  ..., 17.4236, 12.4407, 15.1746])",0.9925513
been,arm,2.75,N,"tensor([20.4797, -0.1255, 22.9958,  ..., 12.7160, 10.7164, 11.3657])","tensor([17.4420, -0.2965, 37.8991,  ..., 22.4461, 13.0824, 18.2898])",0.9894094
vliegtuig,straalvliegtuig,7.33,N,"tensor([36.8498, -0.2757, 45.4149,  ..., 25.9357, 14.6941, 22.2598])","tensor([17.6252, -0.5145, 30.6820,  ..., 20.9314, 12.4873, 16.9930])",0.98154134
vrouw,man,5.08,N,"tensor([21.6145, -0.1429, 25.1298,  ..., 14.1508, 10.6355, 12.2193])","tensor([28.4519, -0.2222, 33.6239,  ..., 19.8142, 13.0768, 17.1183])",0.9866693
