word1	word2	SimLex999	POS	compound_count
strand	zee	4.62	N	0
steeg	kom	0.82	N	0
pot	fles	2.25	N	0
kracht	vermogen	6.92	N	0
zaad	mosterd	1.88	N	0
mening	idee	5.32	N	0
noord	west	1.83	N	0
dieet	salade	3.82	N	0
moeder	vrouw	5.3	N	0
vader	moeder	5.4	N	0
kapitein	matroos	4.25	N	0
meter	decimeter	3.28	N	0
bier	champagne	1.99	N	0
motor	boot	3.55	N	0
kaart	brug	2.32	N	0
zondaar	heilige	1.57	N	0
vernietiging	constructie	1.9	N	0
menigte	massa	8.29	N	0
strand	rif	2.08	N	0
man	kind	1.85	N	0
brood	kaas	2.62	N	0
kampioen	winnaar	8.16	N	0
feest	ceremonie	5.23	N	0
menu	bestelling	3.02	N	0
koning	prinses	2.26	N	0
rijkdom	aanzien	3.08	N	0
gevaar	bedreiging	7.87	N	0
god	priester	2.51	N	0
vriend	partner	5.84	N	0
leraar	helper	4.27	N	0
lichaam	buik	2.03	N	0
tong	keel	1.82	N	0
huis	tapijt	1.74	N	0
intelligentie	vaardigheid	2.87	N	0
reis	verovering	1.29	N	0
god	prooi	0.72	N	0
broer	ziel	2.34	N	0
dood	ramp	3.2	N	0
monster	demon	7.05	N	0
dag	ochtend	3.5	N	0
man	winnaar	1.61	N	0
vriend	jongen	3.37	N	0
lied	verhaal	3.49	N	0
straal	zonneschijn	4.99	N	0
kerel	hengst	2.43	N	0
kip	rijst	1.93	N	0
doos	lift	0.79	N	0
appartement	meubels	2.82	N	0
meer	moeras	1.91	N	0
sla	azijn	2.56	N	0
bloem	bol	3.34	N	0
wolk	waas	4.77	N	0
chauffeur	piloot	5.59	N	0
suiker	honing	3.32	N	0
lichaam	schouder	2.59	N	0
idee	beeld	5.46	N	0
vader	broer	1.97	N	0
maan	planeet	4.28	N	0
rails	hek	4.07	N	0
kamer	bed	1.89	N	0
bloem	struik	3.78	N	0
botten	knie	3.19	N	0
arm	knie	1.63	N	0
vat	ader	4.59	N	0
kat	konijn	2.85	N	0
vlees	spek	4.94	N	0
geloof	begrip	5.42	N	0
intelligentie	inzicht	4.66	N	0
aandacht	interesse	8.13	N	0
recht	rechtvaardigheid	5.13	N	0
diepte	omvang	1.35	N	0
medium	nieuws	4.03	N	0
winnaar	kandidaat	1.68	N	0
verjaardag	datum	3.95	N	0
vergoeding	betaling	6.67	N	0
bijbel	psalm	2.04	N	0
man	schildwacht	1.48	N	0
gangpad	hal	6.03	N	0
whisky	jenever	4.06	N	0
bloed	merg	2.43	N	0
olie	nerts	1.81	N	0
vloer	dek	3.77	N	0
dak	vloer	1.15	N	0
deur	vloer	1.55	N	0
schouder	hoofd	2.95	N	0
wagen	rijtuig	7.05	N	0
auto	rijtuig	6.3	N	0
elleboog	enkel	2.74	N	0
rijkdom	bekendheid	2.46	N	0
verdriet	schaamte	1.87	N	0
administratie	management	3.28	N	0
communicatie	gesprek	6.98	N	0
vervuiling	atmosfeer	4.08	N	0
anatomie	biologie	5.93	N	0
hogeschool	beroep	3.3	N	0
boek	onderwerp	2.22	N	0
formule	vergelijking	5.63	N	0
boek	informatie	4.88	N	0
jongen	partner	2.57	N	0
hemel	universum	5.49	N	0
bevolking	mensen	6.8	N	0
hogeschool	klas	3.07	N	0
leider	burgemeester	4.16	N	0
rabbijn	geestelijke	4.98	N	0
meter	centimeter	5.05	N	0
polyester	katoen	2.23	N	0
advocaat	bankier	2.83	N	0
viool	instrument	3.86	N	0
opslagplaats	hut	2.47	N	0
linnen	stof	5.48	N	0
whisky	champagne	3.02	N	0
meisje	kind	3.94	N	0
hut	huisje	6.41	N	0
vogel	kip	4.27	N	0
raket	lawaai	2.69	N	0
volwassene	baby	2.32	N	0
hoofd	nagel	1.22	N	0
lepel	beker	1.52	N	0
lichaam	zenuw	3.05	N	0
botten	nek	2.21	N	0
frustratie	woede	6.17	N	0
rivier	zee	3.91	N	0
taak	beroep	2.95	N	0
vereniging	maatschappij	2.92	N	0
reflectie	afbeelding	3.46	N	0
prins	koning	5.25	N	0
sneeuw	weer	3.58	N	0
mensen	partij	2.15	N	0
jongen	broer	5.22	N	0
wortel	gras	3.44	N	0
wenkbrauw	oog	3.32	N	0
geld	parel	1.45	N	0
geld	diamant	1.36	N	0
voertuig	bus	3.6	N	0
taxi	bus	2.04	N	0
huis	schuur	3.54	N	0
vinger	handpalm	1.15	N	0
auto	brug	1.56	N	0
inspanning	moeilijkheid	4.04	N	0
feit	inzicht	2.6	N	0
beroep	management	2.04	N	0
kanker	ziekte	5.18	N	0
woord	krant	1.33	N	0
componist	schrijver	4.21	N	0
acteur	zanger	3.13	N	0
schuilplaats	hut	5.32	N	0
cabine	hut	6.18	N	0
deur	keuken	1.45	N	0
waarde	geloof	2.98	N	0
wijsheid	intelligentie	6.42	N	0
onwetendheid	intelligentie	1.96	N	0
gelukkigheid	geluk	6.6	N	0
idee	plan	6.11	N	0
humeur	emotie	4.83	N	0
gelukkigheid	vrede	3.98	N	0
wanhoop	ongeluk	4.35	N	0
logica	rekenkunde	4.15	N	0
ontkenning	bekentenis	2.21	N	0
argument	kritiek	4.83	N	0
agressie	vijandigheid	6.69	N	0
hysterie	verwarring	2.71	N	0
scheikunde	theorie	1.93	N	0
comfort	veiligheid	4.54	N	0
visie	perceptie	6.53	N	0
biografie	fictie	1.0	N	0
discussie	argument	6.09	N	0
code	symbool	3.77	N	0
gevaar	ziekte	3.99	N	0
ongeval	ramp	5.48	N	0
reis	excursie	6.12	N	0
activiteit	beweging	6.22	N	0
roddel	nieuws	4.08	N	0
vader	god	1.76	N	0
actie	cursus	1.28	N	0
koorts	ziekte	4.29	N	0
spel	actie	3.74	N	0
molecuul	lucht	3.51	N	0
huis	toestand	2.76	N	0
woord	literatuur	2.92	N	0
volwassene	voogd	6.19	N	0
krant	informatie	3.86	N	0
communicatie	televisie	3.11	N	0
neef	oom	3.1	N	0
kerel	partner	3.45	N	0
gebied	hoek	1.97	N	0
ballade	lied	5.53	N	0
muur	decoratie	2.7	N	0
woord	pagina	2.53	N	0
verpleegster	wetenschapper	2.33	N	0
politicus	president	4.2	N	0
president	burgemeester	2.51	N	0
boek	essay	3.16	N	0
man	strijder	2.21	N	0
menigte	parade	2.74	N	0
gangpad	gang	7.35	N	0
leraar	rabbijn	3.97	N	0
heup	lip	1.06	N	0
boek	artikel	3.86	N	0
doos	kraampje	1.39	N	0
dochter	kind	4.41	N	0
lever	long	2.47	N	0
berg	richel	1.58	N	0
auto	lift	1.41	N	0
bed	bank	2.57	N	0
kleding	knoop	2.67	N	0
kleding	jas	3.18	N	0
nier	orgaan	6.35	N	0
appel	saus	1.34	N	0
kip	steak	2.53	N	0
auto	slang	1.38	N	0
tabak	sigaret	5.7	N	0
student	professor	2.5	N	0
baby	dochter	3.88	N	0
pijp	sigaar	3.37	N	0
melk	sap	2.51	N	0
doos	sigaar	2.81	N	0
appartement	hotel	3.4	N	0
beker	wafel	1.15	N	0
paard	os	3.55	N	0
keel	neus	3.25	N	0
botten	tanden	1.52	N	0
botten	elleboog	2.77	N	0
spek	boon	1.68	N	0
beker	pot	3.85	N	0
bewijs	feit	7.06	N	0
overeenkomst	afspraak	7.37	N	0
woord	referentie	2.07	N	0
auteur	maker	5.08	N	0
atoom	koolstof	2.26	N	0
brief	paragraaf	1.76	N	0
pagina	paragraaf	3.08	N	0
spier	botten	1.81	N	0
spier	tong	4.5	N	0
jongen	soldaat	1.51	N	0
kerel	meisje	1.14	N	0
bed	stoel	2.07	N	0
kleding	mantel	2.4	N	0
pistool	mes	1.85	N	0
blik	metaal	3.5	N	0
fles	container	2.75	N	0
kip	kalkoen	6.03	N	0
vlees	broodje	1.7	N	0
arm	botten	3.09	N	0
appel	citroen	4.03	N	0
lijden	verdriet	6.83	N	0
opdracht	taak	7.77	N	0
nacht	dageraad	2.97	N	0
diner	soep	2.7	N	0
kalf	stier	4.71	N	0
sneeuw	storm	3.3	N	0
nagel	hand	2.84	N	0
hond	paard	2.16	N	0
arm	hals	2.97	N	0
kogel	kanon	4.96	N	0
griep	koorts	5.13	N	0
vergoeding	salaris	5.51	N	0
zenuw	hersenen	4.09	N	0
beest	dier	8.59	N	0
diner	kip	1.88	N	0
kind	jongen	3.69	N	0
alcohol	wijn	3.94	N	0
neus	mond	3.94	N	0
weg	steeg	3.54	N	0
bel	deur	2.09	N	0
doos	hoed	0.93	N	0
geloof	indruk	2.04	N	0
vooroordeel	mening	4.34	N	0
woede	stemming	2.17	N	0
elegantie	stijl	6.35	N	0
boek	thema	3.06	N	0
vriend	moeder	1.78	N	0
vitamine	ijzer	2.42	N	0
auto	fabriek	1.74	N	0
verdrag	overeenkomst	8.48	N	0
rekenkunde	ritme	2.42	N	0
winnaar	aanwezigheid	1.64	N	0
geloof	bloem	1.43	N	0
winnaar	doel	2.79	N	0
truc	maat	1.32	N	0
keuze	neiging	1.98	N	0
gevangenis	keuze	0.98	N	0
conditie	jongen	0.98	N	0
bloem	volharding	1.55	N	0
gat	overeenkomst	0.78	N	0
dokter	temperament	1.47	N	0
taak	vrouw	1.48	N	0
cent	maat	1.2	N	0
aanwezigheid	deur	1.02	N	0
muis	beheer	0.82	N	0
likeur	eeuw	1.26	N	0
taak	rietje	0.83	N	0
eiland	taak	0.8	N	0
vervuiling	president	0.88	N	0
pistool	truc	0.94	N	0
bad	truc	1.06	N	0
dieet	appel	1.72	N	0
cent	vrouw	1.08	N	0
cursus	buik	0.72	N	0
gat	vrouw	1.21	N	0
student	president	1.28	N	0
bad	vrouw	1.61	N	0
mensen	cent	1.05	N	0
formule	logaritme	3.99	N	0
vrouw	bont	1.74	N	0
pistool	dageraad	1.0	N	0
camera	president	1.69	N	0
buik	ader	2.26	N	0
pistool	bont	0.99	N	0
arbeider	camera	0.88	N	0
dek	muis	1.03	N	0
rijst	jongen	0.87	N	0
mensen	pistool	1.25	N	0
klif	staart	0.93	N	0
enkel	raam	0.86	N	0
prinses	eiland	0.87	N	0
container	muis	0.94	N	0
wagen	container	2.6	N	0
mensen	ballon	1.5	N	0
dollar	mensen	1.47	N	0
bad	ballon	1.12	N	0
kom	staart	0.67	N	0
nemen	stelen	4.14	V	0
luisteren	horen	7.22	V	0
denken	rationaliseren	5.34	V	0
pleiten	bedelen	1.73	V	0
beginnen	ontstaan	6.62	V	0
beschermen	verdedigen	7.6	V	0
doden	vernietigen	4.8	V	0
creëren	maken	8.76	V	0
accepteren	weigeren	2.25	V	0
negeren	vermijden	5.87	V	0
dragen	brengen	1.86	V	0
vertrekken	binnenkomen	1.88	V	0
verliezen	falen	5.51	V	0
luisteren	gehoorzamen	6.05	V	0
delen	melden	6.1	V	0
ontvangen	geven	3.02	V	0
lenen	smeken	2.17	V	0
nemen	verkrijgen	4.83	V	0
winnen	slagen	5.54	V	0
denken	besluiten	2.2	V	0
groeten	ontmoeten	3.42	V	0
genieten	vermaken	4.37	V	0
vernietigen	maken	2.19	V	0
redden	beschermen	3.8	V	0
geven	lenen	2.8	V	0
begrijpen	weten	4.81	V	0
nemen	ontvangen	5.38	V	0
accepteren	erkennen	6.02	V	0
beslissen	kiezen	6.91	V	0
accepteren	geloven	4.06	V	0
houden	bezitten	6.22	V	0
slagen	falen	1.43	V	0
besteden	redden	1.06	V	0
vertrekken	gaan	8.03	V	0
komen	bijwonen	4.91	V	0
weten	geloven	2.87	V	0
verzamelen	ontmoeten	3.22	V	0
maken	verdienen	3.57	V	0
vergeten	negeren	2.34	V	0
krimpen	groeien	2.98	V	0
aankomen	komen	4.21	V	0
slagen	proberen	1.8	V	0
accepteren	ontkennen	1.8	V	0
aankomen	vertrekken	1.68	V	0
sturen	ontvangen	1.78	V	0
winnen	domineren	3.56	V	0
toevoegen	verdelen	2.46	V	0
doden	wurgen	5.31	V	0
verwerven	krijgen	5.04	V	0
deelnemen	meedoen	8.9	V	0
gaan	komen	4.01	V	0
nemen	dragen	2.75	V	0
vergeten	leren	1.91	V	0
benoemen	kiezen	1.87	V	0
verloven	trouwen	4.94	V	0
vragen	bidden	1.62	V	0
gaan	sturen	1.72	V	0
nemen	leveren	2.57	V	0
spreken	luisteren	2.13	V	0
analyseren	evalueren	6.63	V	0
argumenteren	rationaliseren	4.0	V	0
verliezen	houden	1.09	V	0
vergelijken	analyseren	4.1	V	0
desorganiseren	organiseren	2.68	V	0
gaan	verkopen	0.96	V	0
nemen	bezitten	3.26	V	0
leren	luisteren	3.54	V	0
vernietigen	bouwen	1.46	V	0
creëren	bouwen	7.19	V	0
stelen	kopen	2.73	V	0
vergeten	weten	2.28	V	0
doen	gebeuren	2.86	V	0
winnen	bereiken	4.11	V	0
geven	weigeren	0.9	V	0
verdienen	nemen	2.57	V	0
krijgen	zetten	2.08	V	0
lokaliseren	vinden	7.37	V	0
weten	begrijpen	5.32	V	0
koesteren	houden	6.06	V	0
argumenteren	verschillen	4.26	V	0
bereiken	proberen	2.68	V	0
falen	ontmoedigen	2.67	V	0
beginnen	stoppen	1.89	V	0
komen	brengen	2.83	V	0
lezen	begrijpen	3.37	V	0
verwerven	verkrijgen	6.39	V	0
concluderen	beslissen	4.95	V	0
argumenteren	bewijzen	6.23	V	0
vragen	pleiten	2.31	V	0
vinden	verdwijnen	1.49	V	0
inspecteren	examineren	5.27	V	0
controleren	rechtvaardigen	2.47	V	0
leren	evalueren	4.71	V	0
argumenteren	rechtvaardigen	4.65	V	0
maken	worden	2.15	V	0
ontdekken	ontstaan	3.98	V	0
bereiken	slagen	6.7	V	0
geven	plaatsen	2.96	V	0
begrijpen	luisteren	3.99	V	0
uitbreiden	groeien	7.18	V	0
lenen	verkopen	1.28	V	0
houden	beschermen	2.88	V	0
uitleggen	bewijzen	4.76	V	0
vergeven	vergeten	3.01	V	0
verklaren	uitleggen	7.88	V	0
begrijpen	vergeven	1.73	V	0
herinneren	vergeten	1.55	V	0
realiseren	ontdekken	3.85	V	0
negeren	vragen	0.76	V	0
denken	informeren	1.4	V	0
afwijzen	vermijden	2.86	V	0
argumenteren	overtuigen	5.75	V	0
najagen	overtuigen	2.99	V	0
accepteren	vergeven	3.64	V	0
doen	stoppen	2.1	V	0
discussiëren	uitleggen	2.33	V	0
verkennen	ontdekken	6.88	V	0
klagen	argumenteren	1.05	V	0
houden	lenen	2.87	V	0
smeken	vragen	3.47	V	0
regelen	organiseren	6.76	V	0
verminderen	krimpen	6.94	V	0
spreken	erkennen	1.42	V	0
geven	uitlenen	2.07	V	0
doden	verdedigen	2.45	V	0
verdwijnen	krimpen	4.04	V	0
leveren	dragen	1.76	V	0
ademen	verstikken	2.03	V	0
erkennen	melden	1.98	V	0
worden	verschijnen	2.97	V	0
bereiken	worden	5.7	V	0
blijven	behouden	5.54	V	0
willen	kiezen	3.56	V	0
verliezen	krijgen	2.0	V	0
proberen	denken	0.99	V	0
worden	lijken	2.19	V	0
vertrekken	negeren	1.61	V	0
accepteren	aanbevelen	2.42	V	0
vertrekken	zwerven	2.52	V	0
houden	geven	1.72	V	0
geven	toestaan	3.28	V	0
brengen	sturen	2.19	V	0
opnemen	leren	4.69	V	0
verwerven	vinden	2.7	V	0
vertrekken	verschijnen	1.27	V	0
creëren	vernietigen	1.44	V	0
beginnen	gaan	2.19	V	0
krijgen	kopen	2.12	V	0
verzamelen	opslaan	4.75	V	0
vervangen	herstellen	3.87	V	0
accepteren	bezorgen	1.41	V	0
communiceren	bidden	1.69	V	0
geven	stelen	1.19	V	0
brengen	herstellen	2.03	V	0
belichamen	beslissen	1.15	V	0
organiseren	worden	1.34	V	0
geven	weten	1.05	V	0
zeggen	verifiëren	1.85	V	0
regelen	vereisen	2.13	V	0
lenen	willen	2.53	V	0
negeren	verkennen	1.89	V	0
brengen	klagen	1.51	V	0
belichamen	melden	1.44	V	0
herinneren	verkopen	1.41	V	0
